sample_id,p__Firmicutes,p__Bacteroidota,p__Actinobacteriota,p__Proteobacteria,p__Verrucomicrobiota,p__Firmicutes;c__Clostridia,p__Bacteroidota;c__Bacteroidia,p__Firmicutes;c__Bacilli,p__Actinobacteriota;c__Actinobacteria,p__Proteobacteria;c__Gammaproteobacteria,p__Verrucomicrobiota;c__Verrucomicrobiae,p__Actinobacteriota;c__Coriobacteriia,p__Firmicutes;c__Clostridia;o__Lachnospirales,p__Bacteroidota;c__Bacteroidia;o__Bacteroidales,p__Actinobacteriota;c__Actinobacteria;o__Bifidobacteriales,p__Firmicutes;c__Bacilli;o__Erysipelotrichales,p__Firmicutes;c__Bacilli;o__Lactobacillales,p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales,p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales,p__Firmicutes;c__Clostridia;o__Clostridia_UCG014,p__Firmicutes;c__Clostridia;o__Oscillospirales,p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales,p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales,p__Firmicutes;c__Clostridia;o__Peptococcales,p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae,p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae,p__Actinobacteriota;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae,p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae,p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae,p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae,p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae,p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae,p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae,p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae,p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae,p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae,p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Sutterellaceae,p__Firmicutes;c__Clostridia;o__Peptococcales;f__Peptococcaceae,p__Actinobacteriota;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium,p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Turicibacter,p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus,p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae_NK4A136,p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia_Shigella,p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_ventriosum,p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae;g__Erysipelatoclostridium,p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnoclostridium,p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__A2,p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia,p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Dubosiella,p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes,p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Faecalibaculum,p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia,p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae_UCG001,p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__GCA_900066575,p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae_UCG006,p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia,p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__HT002,p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Incertae_Sedis,p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Enterorhabdus,p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Sutterellaceae;g__Parasutterella,p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Intestinimonas,p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Colidextribacter,p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter,p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Marvinbryantia
DO0571,0.316693715,0.401253568,0.249356427,0.000825452,0.031870838,0.293091387,0.401253568,0.023602328,0.240444345,0.000825452,0.031870838,0.008912082,0.257988696,0.401253568,0.240444345,0.00097935,0.022622978,0.000825452,0.031870838,0,0.029674296,0.008912082,0,0,0.257988696,0.392789188,0.240444345,0,0.022622978,0.000825452,0.00097935,0.031870838,0.00846438,0.020804186,0.00887011,0.008912082,0,0,0.240444345,0,0.016816834,0.104202809,0.000825452,0,0.000727517,0.011976048,0.015515698,0.031870838,0,0.00846438,0,0.001049303,0,0.00374951,0.002476356,0,0.005806145,0.000573619,0.008716212,0,0,0.005022665,0.010982707,0.004071297
DO0572,0.256025376,0.5142894,0.009614801,0.05349229,0.166578133,0.175176056,0.5142894,0.08084932,0.00862069,0.05349229,0.166578133,0.000994111,0.165500546,0.5142894,0.00862069,0.000417375,0.080431945,0.031735673,0.166578133,0,0.00967551,0.000994111,0.021756617,0,0.165500546,0.513894791,0.00862069,0.000417375,0.073951251,0.031735673,0,0.166578133,0.000394609,0.008461328,0.001214182,0.000994111,0.021756617,0,0.00862069,7.59e-06,0.07222863,0,0.031735673,7.59e-06,0,0.007391331,0,0.166578133,0.000409786,0.000394609,0,7.59e-06,0,0.009402319,0,0,0.00172262,0.001214182,0.000994111,0.021756617,0.00800601,0.00016695,1.52e-05,0
DO0573,0.261188436,0.47704235,0.260898046,0.000871168,0,0.186105877,0.47704235,0.075082558,0.258237268,0.000871168,0,0.002660778,0.16214537,0.47704235,0.258237268,0.06523633,0.009846229,8.78e-05,0,6.75e-05,0.023345962,0.002660778,0.000783376,0,0.16214537,0.464683914,0.258237268,0.060272696,0.009332982,8.78e-05,0.004963634,0,0.012358435,0.018868562,0.003808829,0.002660778,0.000783376,0,0.258237268,0,0.006753243,0.058705944,8.78e-05,0,0.004963634,0.006091425,0.005909088,0,0.060272696,0.012358435,0,0.008097139,4.73e-05,0.002545973,0.001411428,0,0.002579739,0.002782336,0.002654025,0.000783376,0.001668051,0.002721557,0.004362595,0.001012986
DO0574,0.450069662,0.385189619,0.161861595,0.002747282,0.000131841,0.410032746,0.385189619,0.040036915,0.14823921,0.002747282,0.000131841,0.013622386,0.32874384,0.385189619,0.14823921,0.015250801,0.023688627,0.001111741,0.000131841,0.005893651,0.072038654,0.013622386,0.001635541,0.000915761,0.32874384,0.338389615,0.14823921,0.00075185,0.023688627,0.001111741,0.014498951,0.000131841,0.046800004,0.054058388,0.013968023,0.013622386,0.001635541,0.000915761,0.14823921,0.000288625,0.016526452,0.065528558,0.001111741,0.021874922,0.011505803,0.028456284,0.004935131,0.000131841,0.000463225,0.046800004,0,0.032782095,0.000666332,0.003859023,0.007518502,0.000926451,0.007162175,0.005861581,0.013237553,0.001635541,0.004511101,0.00534847,0.009407036,0.003784194
DO0575,0.318176587,0.277827325,0.367519923,0.019045427,0.017430737,0.06407693,0.277827325,0.254099658,0.364589027,0.019045427,0.017430737,0.002930896,0.047538048,0.277827325,0.364589027,0.077893495,0.176116258,0,0.017430737,0.000143848,0.011317213,0.002930896,0.019045427,0.003768808,0.047538048,0.275166144,0.364589027,0.077573434,0.176109065,0,0.000320061,0.017430737,0.002661181,0.009335712,0.001621882,0.002930896,0.019045427,0.003768808,0.364589027,0.000992549,0.175871717,0.011935758,0,0.000571794,0.000320061,0.002905722,0.001172358,0.017430737,0.076494577,0.002661181,4.32e-05,0.001923962,7.19e-05,0.002204465,0.000582583,0.000172617,0.000237349,0.000960183,0.001114819,0.019045427,0.001362956,0.001006933,0.0015104,0.0003776
DO0576,0.327612235,0.409315414,0.07342398,0.045914315,0.143734056,0.113946822,0.409315414,0.213665413,0.070557294,0.045914315,0.143734056,0.002866686,0.072598164,0.409315414,0.070557294,0.085995319,0.127491255,0.000252479,0.143734056,0,0.01641638,0.002866686,0.045661836,0.02451674,0.072598164,0.40818452,0.070557294,0.085879599,0.127449175,0.000252479,0.000115719,0.143734056,0.001130894,0.014091471,0.002324909,0.002866686,0.045661836,0.02451674,0.070557294,0,0.10810299,0.031891224,0.000252479,0,0.000115719,0.011166925,9.99e-05,0.143734056,0.085879599,0.001130894,0,0.000899456,0,0.01217684,0.000178839,0,0.019346185,0.002240749,0.002866686,0.045661836,0.005785972,3.16e-05,0.004612997,0.000163059
DO0577,0.455332079,0.400820843,0.107222058,0.036502574,0.000122446,0.403360468,0.400820843,0.051971611,0.101040793,0.036502574,0.000122446,0.006181266,0.350382078,0.400820843,0.101040793,0.045368586,0.006439763,0.000344663,0.000122446,0.002979524,0.030829233,0.006181266,0.03615791,0.019156028,0.350382078,0.397161062,0.101040793,0.031677286,0.005963584,0.000344663,0.0136913,0.000122446,0.003659781,0.021160518,0.008444253,0.006181266,0.03615791,0.019156028,0.101040793,0.000394549,0.005374028,0.143370899,0.000344663,0.003138251,0.005047505,0.03204916,0.049445591,0.000122446,0.030280493,0.003659781,0.000984105,0.026158137,0.012571144,0.002820798,0.051531711,1.36e-05,0.000589556,0.002335548,0.005968119,0.03615791,0.001745992,0.004022585,0.009210675,0.002385433
DO0578,0.363877431,0.343322126,0.255598114,0.006109397,0.031092932,0.258761136,0.343322126,0.105116295,0.242330757,0.006109397,0.031092932,0.013267358,0.238500468,0.343322126,0.242330757,0.079751465,0.02327637,0.002703733,0.031092932,8.67e-06,0.018492842,0.013267358,0.003405664,0,0.238500468,0.330332074,0.242330757,0.004930847,0.023233041,0.002703733,0.074820618,0.031092932,0.012990052,0.01462789,0.001403861,0.013267358,0.003405664,0,0.242330757,0,0.016005754,0.088954556,0.002703733,8.67e-05,0.073954037,0.021057922,0,0.031092932,0.004930847,0.012990052,0,0.002851052,0.000320635,0.001611841,0.01868349,0.002521751,0.007227287,0.000398627,0.01313737,0.003405664,0.000814586,0.003059032,0.003821623,0.002253111
DO0579,0.327239277,0.333477808,0.33525761,0.004025305,0,0.217984305,0.333477808,0.109254973,0.331817888,0.004025305,0,0.003439722,0.208610371,0.333477808,0.331817888,0.104805467,0.004177464,0.001535425,0,0.001055893,0.007916893,0.003439722,0.002489879,1.38e-05,0.208610371,0.330494564,0.331817888,0.085933105,0.003527329,0.001535425,0.018872361,0,0.002983244,0.005408571,0.002088732,0.003439722,0.002489879,1.38e-05,0.331817888,0.000322762,0.002314665,0.022690176,0.001535425,0.107198517,0.018517323,0.00675495,0.013542176,0,0.084927932,0.002983244,0,0.007400474,0,0.002835696,0.001516982,0,0.001212663,0.001784413,0.003356726,0.002489879,0.000216712,0.001424764,0.001235718,0.001120446
DO0580,0.420372083,0.379423384,0.147221989,0.017861646,0.035120899,0.285310022,0.379423384,0.13506206,0.136953294,0.017861646,0.035120899,0.010268695,0.252640722,0.379423384,0.136953294,0.030049592,0.104900395,0.000182119,0.035120899,0,0.031450506,0.010268695,0.017679527,0.00016811,0.252640722,0.377952425,0.136953294,0.023801519,0.104676249,0.000182119,0.006248074,0.035120899,0.001470959,0.020369281,0.01050685,0.010268695,0.017679527,0.00016811,0.136953294,0,0.099941162,0.068574711,0.000182119,5.6e-05,0.006248074,0.014219271,0.053010563,0.035120899,0.0237735,0.001470959,0,0.023563363,0.000210137,0.010254686,0.000588384,0,0.004735087,0.009119946,0.009470175,0.017679527,0.005351489,0.002703763,0.004090667,0.000532347
DO0581,0.256833847,0.098676535,0.639021108,7.16e-06,0.005461352,0.160576627,0.098676535,0.09625722,0.631591379,7.16e-06,0.005461352,0.007429729,0.146797987,0.098676535,0.631591379,0.092470779,0.002884567,7.16e-06,0.005461352,0,0.011910471,0.007429729,0,0.000286309,0.146797987,0.07552842,0.631591379,0.09214868,0.002884567,7.16e-06,0.000322098,0.005461352,0.023148115,0.007866351,0.003457186,0.007429729,0,0.000286309,0.631591379,0,0.002612573,0.020585646,7.16e-06,0,0.000322098,0.011366483,0.004924522,0.005461352,0.09214868,0.023148115,0,0.004781367,1.43e-05,0.007007423,0.002848779,0.011982048,0.000271994,0.002383526,0.006742586,0,0.000909032,0.002791517,0.000937663,0.000350729
DO0582,0.433847276,0.146404139,0.415538077,0.004210508,0,0.181815814,0.146404139,0.252031462,0.414079592,0.004210508,0,0.001458485,0.171476195,0.146404139,0.414079592,0.063244435,0.188787026,7.81e-05,0,0.000225718,0.010001042,0.001458485,0.004132375,0,0.171476195,0.146161058,0.414079592,0.027841442,0.188787026,7.81e-05,0.035402993,0,0.000243081,0.007318471,0.002665208,0.001458485,0.004132375,0,0.414079592,0,0.170720908,0.039578776,7.81e-05,0,0.030524013,0.066873285,0.000442754,0,0.027841442,0.000243081,0,0.000824739,0,0.017449734,0.00041671,0,0.018066118,0.00166684,0.001354308,0.004132375,0,0.000928916,0.005226239,0.002969059
DO0583,0.454491322,0.502234459,0.042997123,0.000277097,0,0.39980898,0.502234459,0.054682341,0.040314593,0.000277097,0,0.00268253,0.371934251,0.502234459,0.040314593,0.052153099,0.001662579,0.000277097,0,0.000153287,0.025663852,0.00268253,0,0,0.371934251,0.472190124,0.040314593,0,0.001397274,0.000277097,0.052153099,0,0.030044335,0.02173144,0.003843977,0.00268253,0,0,0.040314593,0,0.000294784,0.039571739,0.000277097,0.116928827,0.052094142,0.010435336,0.046334072,0,0,0.030044335,0,0.009674795,0,0.006267097,0.000624941,0,0.00110249,0.002865296,0.00268253,0,0.00057188,0.002517451,0.005170503,0.003177766
DO0584,0.747522486,0.227782795,0.008462519,0,0.0162322,0.735224616,0.227782795,0.012297871,0,0,0.0162322,0.008462519,0.665421208,0.227782795,0,0,0.012112289,0,0.0162322,7.42e-05,0.067799127,0.008462519,0,0,0.665421208,0.201541564,0,0,0.012075173,0,0,0.0162322,0.026241231,0.046580969,0.02082225,0.008462519,0,0,0,0,0.006767541,0.26692813,0,0,0,0.031053979,0.079218578,0.0162322,0,0.026241231,0,0.008462519,0,0.037871008,0.020203645,0,0.005307632,0.014450617,0.008462519,0,0.005245772,0.008078984,0.012768011,0.00241256
