sample_id,text
DO0731,"The gut microbiome of the individual shows a relative abundance of 0.5289652% for Firmicutes, 0.3481604% for Bacteroidota, 0.1195110% for Actinobacteriota, 0.0031995% for Proteobacteria, 0.0001639% for Verrucomicrobiota, 0.4961717% for Clostridia, 0.3481604% for Bacteroidia, 0.0327935% for Bacilli, 0.1121330% for Actinobacteria, 0.0031995% for Gammaproteobacteria, 0.0001639% for Verrucomicrobiae, 0.0073780% for Coriobacteriia, 0.4491014% for Lachnospirales, 0.3481604% for Bacteroidales, 0.1121330% for Bifidobacteriales, 0.0269149% for Erysipelotrichales, 0.0058459% for Lactobacillales, 0.0000000% for Enterobacterales, 0.0001639% for Verrucomicrobiales, 0.0005121% for Clostridia UCG-014, 0.0416505% for Oscillospirales, 0.0073780% for Coriobacteriales, 0.0011675% for Other_Order_Level, 0.0031995% for Burkholderiales, 0.0036132% for Peptococcales, 0.4491014% for Lachnospiraceae, 0.3402048% for Muribaculaceae, 0.1121330% for Bifidobacteriaceae, 0.0095452% for Erysipelotrichaceae, 0.0057476% for Lactobacillaceae, 0.0000000% for Enterobacteriaceae, 0.0173697% for Erysipelatoclostridiaceae, 0.0001639% for Akkermansiaceae, 0.0005121% for Unknown Clostridia UCG-014 (Order) 1, 0.0079557% for Rikenellaceae, 0.0360749% for Oscillospiraceae, 0.0017083% for Other_Family_Level, 0.0037484% for Ruminococcaceae, 0.0073780% for Eggerthellaceae, 0.0031995% for Sutterellaceae, 0.0036132% for Peptococcaceae, 0.3402048% for Unknown Muribaculaceae (Family), 0.1121330% for Bifidobacterium, 0.0000000% for Turicibacter, 0.0994457% for Unknown Lachnospiraceae (Family), 0.0054977% for Lactobacillus, 0.1563766% for Lachnospiraceae NK4A136 group, 0.0000000% for Escherichia-Shigella, 0.1075898% for [Eubacterium] ventriosum group, 0.0159154% for Erysipelatoclostridium, 0.0073494% for Lachnoclostridium, 0.0462837% for A2, 0.0001639% for Akkermansia, 0.0091642% for Dubosiella, 0.0005121% for Unknown Clostridia UCG-014 (Order) 2, 0.0014543% for Unknown Erysipelatoclostridiaceae (Family), 0.0079557% for Alistipes, 0.0000942% for Faecalibaculum, 0.0163824% for Roseburia, 0.0002130% for Lachnospiraceae UCG-001, 0.0108725% for GCA-900066575, 0.0019213% for Lachnospiraceae UCG-006, 0.0000000% for Blautia, 0.0017083% for Other_Genus_Level, 0.0002499% for HT002, 0.0022368% for Incertae Sedis, 0.0186970% for Unknown Oscillospiraceae (Family), 0.0055673% for Enterorhabdus, 0.0031995% for Parasutterella, 0.0036132% for Unknown Peptococcaceae (Family), 0.0021917% for Intestinimonas, 0.0082219% for Colidextribacter, 0.0068332% for Oscillibacter, 0.0010242% for Marvinbryantia, 0.0011593% for Unknown Ruminococcaceae (Family)."
DO0732,"The gut microbiome of the individual shows a relative abundance of 0.4062532% for Firmicutes, 0.4376589% for Bacteroidota, 0.1559249% for Actinobacteriota, 0.0001630% for Proteobacteria, 0.0000000% for Verrucomicrobiota, 0.3544692% for Clostridia, 0.4376589% for Bacteroidia, 0.0517840% for Bacilli, 0.1489815% for Actinobacteria, 0.0001630% for Gammaproteobacteria, 0.0000000% for Verrucomicrobiae, 0.0069433% for Coriobacteriia, 0.3030530% for Lachnospirales, 0.4376589% for Bacteroidales, 0.1489815% for Bifidobacteriales, 0.0143431% for Erysipelotrichales, 0.0368356% for Lactobacillales, 0.0000978% for Enterobacterales, 0.0000000% for Verrucomicrobiales, 0.0022679% for Clostridia UCG-014, 0.0406123% for Oscillospirales, 0.0069433% for Coriobacteriales, 0.0004936% for Other_Order_Level, 0.0000652% for Burkholderiales, 0.0074556% for Peptococcales, 0.3030530% for Lachnospiraceae, 0.4313815% for Muribaculaceae, 0.1489815% for Bifidobacteriaceae, 0.0024961% for Erysipelotrichaceae, 0.0368356% for Lactobacillaceae, 0.0000978% for Enterobacteriaceae, 0.0118470% for Erysipelatoclostridiaceae, 0.0000000% for Akkermansiaceae, 0.0022679% for Unknown Clostridia UCG-014 (Order) 1, 0.0062774% for Rikenellaceae, 0.0268932% for Oscillospiraceae, 0.0041912% for Other_Family_Level, 0.0095279% for Ruminococcaceae, 0.0069433% for Eggerthellaceae, 0.0000652% for Sutterellaceae, 0.0074556% for Peptococcaceae, 0.4313815% for Unknown Muribaculaceae (Family), 0.1489815% for Bifidobacterium, 0.0005961% for Turicibacter, 0.1200393% for Unknown Lachnospiraceae (Family), 0.0303160% for Lactobacillus, 0.1241932% for Lachnospiraceae NK4A136 group, 0.0000978% for Escherichia-Shigella, 0.0005961% for [Eubacterium] ventriosum group, 0.0116048% for Erysipelatoclostridium, 0.0186925% for Lachnoclostridium, 0.0038745% for A2, 0.0000000% for Akkermansia, 0.0006613% for Dubosiella, 0.0022679% for Unknown Clostridia UCG-014 (Order) 2, 0.0002422% for Unknown Erysipelatoclostridiaceae (Family), 0.0062774% for Alistipes, 0.0000000% for Faecalibaculum, 0.0089085% for Roseburia, 0.0000652% for Lachnospiraceae UCG-001, 0.0127830% for GCA-900066575, 0.0087036% for Lachnospiraceae UCG-006, 0.0000000% for Blautia, 0.0041912% for Other_Genus_Level, 0.0065196% for HT002, 0.0077909% for Incertae Sedis, 0.0110926% for Unknown Oscillospiraceae (Family), 0.0061843% for Enterorhabdus, 0.0000652% for Parasutterella, 0.0074556% for Unknown Peptococcaceae (Family), 0.0014064% for Intestinimonas, 0.0034088% for Colidextribacter, 0.0109575% for Oscillibacter, 0.0022632% for Marvinbryantia, 0.0009779% for Unknown Ruminococcaceae (Family)."
DO0733,"The gut microbiome of the individual shows a relative abundance of 0.4894347% for Firmicutes, 0.1999669% for Bacteroidota, 0.3098173% for Actinobacteriota, 0.0007811% for Proteobacteria, 0.0000000% for Verrucomicrobiota, 0.1864028% for Clostridia, 0.1999669% for Bacteroidia, 0.3030319% for Bacilli, 0.3060572% for Actinobacteria, 0.0007811% for Gammaproteobacteria, 0.0000000% for Verrucomicrobiae, 0.0037601% for Coriobacteriia, 0.1529591% for Lachnospirales, 0.1999669% for Bacteroidales, 0.3060572% for Bifidobacteriales, 0.0994307% for Erysipelotrichales, 0.2030451% for Lactobacillales, 0.0000463% for Enterobacterales, 0.0000000% for Verrucomicrobiales, 0.0004237% for Clostridia UCG-014, 0.0242817% for Oscillospirales, 0.0037601% for Coriobacteriales, 0.0002913% for Other_Order_Level, 0.0007348% for Burkholderiales, 0.0086125% for Peptococcales, 0.1529591% for Lachnospiraceae, 0.1988415% for Muribaculaceae, 0.3060572% for Bifidobacteriaceae, 0.0979478% for Erysipelotrichaceae, 0.2029988% for Lactobacillaceae, 0.0000463% for Enterobacteriaceae, 0.0014829% for Erysipelatoclostridiaceae, 0.0000000% for Akkermansiaceae, 0.0004237% for Unknown Clostridia UCG-014 (Order) 1, 0.0011254% for Rikenellaceae, 0.0199921% for Oscillospiraceae, 0.0018006% for Other_Family_Level, 0.0024891% for Ruminococcaceae, 0.0037601% for Eggerthellaceae, 0.0007348% for Sutterellaceae, 0.0086125% for Peptococcaceae, 0.1988415% for Unknown Muribaculaceae (Family), 0.3060572% for Bifidobacterium, 0.0511121% for Turicibacter, 0.0336423% for Unknown Lachnospiraceae (Family), 0.1896002% for Lactobacillus, 0.0701907% for Lachnospiraceae NK4A136 group, 0.0000463% for Escherichia-Shigella, 0.0000000% for [Eubacterium] ventriosum group, 0.0014829% for Erysipelatoclostridium, 0.0048855% for Lachnoclostridium, 0.0008606% for A2, 0.0000000% for Akkermansia, 0.0468357% for Dubosiella, 0.0004237% for Unknown Clostridia UCG-014 (Order) 2, 0.0000000% for Unknown Erysipelatoclostridiaceae (Family), 0.0011254% for Alistipes, 0.0000000% for Faecalibaculum, 0.0236860% for Roseburia, 0.0001125% for Lachnospiraceae UCG-001, 0.0119688% for GCA-900066575, 0.0015358% for Lachnospiraceae UCG-006, 0.0000000% for Blautia, 0.0037733% for Other_Genus_Level, 0.0133986% for HT002, 0.0010195% for Incertae Sedis, 0.0022508% for Unknown Oscillospiraceae (Family), 0.0032768% for Enterorhabdus, 0.0007348% for Parasutterella, 0.0086125% for Unknown Peptococcaceae (Family), 0.0029458% for Intestinimonas, 0.0122402% for Colidextribacter, 0.0023302% for Oscillibacter, 0.0003773% for Marvinbryantia, 0.0013041% for Unknown Ruminococcaceae (Family)."
DO0734,"The gut microbiome of the individual shows a relative abundance of 0.2331242% for Firmicutes, 0.5646025% for Bacteroidota, 0.1948086% for Actinobacteriota, 0.0074647% for Proteobacteria, 0.0000000% for Verrucomicrobiota, 0.1650283% for Clostridia, 0.5646025% for Bacteroidia, 0.0680959% for Bacilli, 0.1918747% for Actinobacteria, 0.0074647% for Gammaproteobacteria, 0.0000000% for Verrucomicrobiae, 0.0029339% for Coriobacteriia, 0.1290598% for Lachnospirales, 0.5646025% for Bacteroidales, 0.1918747% for Bifidobacteriales, 0.0249590% for Erysipelotrichales, 0.0423807% for Lactobacillales, 0.0002662% for Enterobacterales, 0.0000000% for Verrucomicrobiales, 0.0188796% for Clostridia UCG-014, 0.0157521% for Oscillospirales, 0.0029339% for Coriobacteriales, 0.0007562% for Other_Order_Level, 0.0071986% for Burkholderiales, 0.0000000% for Peptococcales, 0.1290598% for Lachnospiraceae, 0.5581661% for Muribaculaceae, 0.1918747% for Bifidobacteriaceae, 0.0192909% for Erysipelotrichaceae, 0.0423081% for Lactobacillaceae, 0.0002662% for Enterobacteriaceae, 0.0056681% for Erysipelatoclostridiaceae, 0.0000000% for Akkermansiaceae, 0.0188796% for Unknown Clostridia UCG-014 (Order) 1, 0.0064364% for Rikenellaceae, 0.0101990% for Oscillospiraceae, 0.0007562% for Other_Family_Level, 0.0054745% for Ruminococcaceae, 0.0029339% for Eggerthellaceae, 0.0071986% for Sutterellaceae, 0.0000000% for Peptococcaceae, 0.5581661% for Unknown Muribaculaceae (Family), 0.1918747% for Bifidobacterium, 0.0005747% for Turicibacter, 0.0463732% for Unknown Lachnospiraceae (Family), 0.0359565% for Lactobacillus, 0.0384064% for Lachnospiraceae NK4A136 group, 0.0002662% for Escherichia-Shigella, 0.0005928% for [Eubacterium] ventriosum group, 0.0054866% for Erysipelatoclostridium, 0.0040106% for Lachnoclostridium, 0.0156553% for A2, 0.0000000% for Akkermansia, 0.0186557% for Dubosiella, 0.0188796% for Unknown Clostridia UCG-014 (Order) 2, 0.0001815% for Unknown Erysipelatoclostridiaceae (Family), 0.0064364% for Alistipes, 0.0000181% for Faecalibaculum, 0.0041921% for Roseburia, 0.0000786% for Lachnospiraceae UCG-001, 0.0099267% for GCA-900066575, 0.0002904% for Lachnospiraceae UCG-006, 0.0027282% for Blautia, 0.0008650% for Other_Genus_Level, 0.0063517% for HT002, 0.0040832% for Incertae Sedis, 0.0032787% for Unknown Oscillospiraceae (Family), 0.0028613% for Enterorhabdus, 0.0071986% for Parasutterella, 0.0000000% for Unknown Peptococcaceae (Family), 0.0002359% for Intestinimonas, 0.0047728% for Colidextribacter, 0.0014760% for Oscillibacter, 0.0051479% for Marvinbryantia, 0.0010889% for Unknown Ruminococcaceae (Family)."
DO0735,"The gut microbiome of the individual shows a relative abundance of 0.5348037% for Firmicutes, 0.1391621% for Bacteroidota, 0.3170031% for Actinobacteriota, 0.0064465% for Proteobacteria, 0.0025846% for Verrucomicrobiota, 0.2533447% for Clostridia, 0.1391621% for Bacteroidia, 0.2814590% for Bacilli, 0.3126589% for Actinobacteria, 0.0064465% for Gammaproteobacteria, 0.0025846% for Verrucomicrobiae, 0.0043441% for Coriobacteriia, 0.2191156% for Lachnospirales, 0.1391621% for Bacteroidales, 0.3126589% for Bifidobacteriales, 0.1275766% for Erysipelotrichales, 0.1536714% for Lactobacillales, 0.0001733% for Enterobacterales, 0.0025846% for Verrucomicrobiales, 0.0033570% for Clostridia UCG-014, 0.0192979% for Oscillospirales, 0.0043441% for Coriobacteriales, 0.0001997% for Other_Order_Level, 0.0062731% for Burkholderiales, 0.0113557% for Peptococcales, 0.2191156% for Lachnospiraceae, 0.1378171% for Muribaculaceae, 0.3126589% for Bifidobacteriaceae, 0.1060595% for Erysipelotrichaceae, 0.1532155% for Lactobacillaceae, 0.0001733% for Enterobacteriaceae, 0.0215171% for Erysipelatoclostridiaceae, 0.0025846% for Akkermansiaceae, 0.0033570% for Unknown Clostridia UCG-014 (Order) 1, 0.0013451% for Rikenellaceae, 0.0155152% for Oscillospiraceae, 0.0009005% for Other_Family_Level, 0.0028672% for Ruminococcaceae, 0.0043441% for Eggerthellaceae, 0.0062731% for Sutterellaceae, 0.0113557% for Peptococcaceae, 0.1378171% for Unknown Muribaculaceae (Family), 0.3126589% for Bifidobacterium, 0.0004597% for Turicibacter, 0.0732319% for Unknown Lachnospiraceae (Family), 0.1379716% for Lactobacillus, 0.0231975% for Lachnospiraceae NK4A136 group, 0.0001733% for Escherichia-Shigella, 0.0596834% for [Eubacterium] ventriosum group, 0.0214455% for Erysipelatoclostridium, 0.0100333% for Lachnoclostridium, 0.0107981% for A2, 0.0025846% for Akkermansia, 0.1054039% for Dubosiella, 0.0033570% for Unknown Clostridia UCG-014 (Order) 2, 0.0000716% for Unknown Erysipelatoclostridiaceae (Family), 0.0013451% for Alistipes, 0.0001959% for Faecalibaculum, 0.0197350% for Roseburia, 0.0031611% for Lachnospiraceae UCG-001, 0.0063146% for GCA-900066575, 0.0108320% for Lachnospiraceae UCG-006, 0.0000000% for Blautia, 0.0009005% for Other_Genus_Level, 0.0152439% for HT002, 0.0016389% for Incertae Sedis, 0.0067705% for Unknown Oscillospiraceae (Family), 0.0036659% for Enterorhabdus, 0.0062731% for Parasutterella, 0.0113557% for Unknown Peptococcaceae (Family), 0.0001432% for Intestinimonas, 0.0054669% for Colidextribacter, 0.0031347% for Oscillibacter, 0.0011567% for Marvinbryantia, 0.0011491% for Unknown Ruminococcaceae (Family)."
DO0736,"The gut microbiome of the individual shows a relative abundance of 0.4238876% for Firmicutes, 0.2109120% for Bacteroidota, 0.3639810% for Actinobacteriota, 0.0000055% for Proteobacteria, 0.0012139% for Verrucomicrobiota, 0.1505750% for Clostridia, 0.2109120% for Bacteroidia, 0.2733127% for Bacilli, 0.3619284% for Actinobacteria, 0.0000055% for Gammaproteobacteria, 0.0012139% for Verrucomicrobiae, 0.0020526% for Coriobacteriia, 0.1334919% for Lachnospirales, 0.2109120% for Bacteroidales, 0.3619284% for Bifidobacteriales, 0.0599894% for Erysipelotrichales, 0.2128487% for Lactobacillales, 0.0000055% for Enterobacterales, 0.0012139% for Verrucomicrobiales, 0.0104948% for Clostridia UCG-014, 0.0017160% for Oscillospirales, 0.0020526% for Coriobacteriales, 0.0004745% for Other_Order_Level, 0.0000000% for Burkholderiales, 0.0048501% for Peptococcales, 0.1334919% for Lachnospiraceae, 0.2109120% for Muribaculaceae, 0.3619284% for Bifidobacteriaceae, 0.0407434% for Erysipelotrichaceae, 0.2128487% for Lactobacillaceae, 0.0000055% for Enterobacteriaceae, 0.0192460% for Erysipelatoclostridiaceae, 0.0012139% for Akkermansiaceae, 0.0104948% for Unknown Clostridia UCG-014 (Order) 1, 0.0000000% for Rikenellaceae, 0.0010870% for Oscillospiraceae, 0.0004745% for Other_Family_Level, 0.0004580% for Ruminococcaceae, 0.0020526% for Eggerthellaceae, 0.0000000% for Sutterellaceae, 0.0048501% for Peptococcaceae, 0.2109120% for Unknown Muribaculaceae (Family), 0.3619284% for Bifidobacterium, 0.0000000% for Turicibacter, 0.0215911% for Unknown Lachnospiraceae (Family), 0.2010848% for Lactobacillus, 0.0230588% for Lachnospiraceae NK4A136 group, 0.0000055% for Escherichia-Shigella, 0.0563973% for [Eubacterium] ventriosum group, 0.0121833% for Erysipelatoclostridium, 0.0052474% for Lachnoclostridium, 0.0142524% for A2, 0.0012139% for Akkermansia, 0.0407434% for Dubosiella, 0.0104948% for Unknown Clostridia UCG-014 (Order) 2, 0.0070628% for Unknown Erysipelatoclostridiaceae (Family), 0.0000000% for Alistipes, 0.0000000% for Faecalibaculum, 0.0045522% for Roseburia, 0.0017105% for Lachnospiraceae UCG-001, 0.0012856% for GCA-900066575, 0.0035866% for Lachnospiraceae UCG-006, 0.0000000% for Blautia, 0.0005794% for Other_Genus_Level, 0.0117639% for HT002, 0.0001600% for Incertae Sedis, 0.0008884% for Unknown Oscillospiraceae (Family), 0.0014732% for Enterorhabdus, 0.0000000% for Parasutterella, 0.0048501% for Unknown Peptococcaceae (Family), 0.0000000% for Intestinimonas, 0.0001821% for Colidextribacter, 0.0000166% for Oscillibacter, 0.0015836% for Marvinbryantia, 0.0001269% for Unknown Ruminococcaceae (Family)."
DO0738,"The gut microbiome of the individual shows a relative abundance of 0.3908133% for Firmicutes, 0.4688440% for Bacteroidota, 0.0998863% for Actinobacteriota, 0.0090455% for Proteobacteria, 0.0314109% for Verrucomicrobiota, 0.1739432% for Clostridia, 0.4688440% for Bacteroidia, 0.2168701% for Bacilli, 0.0954093% for Actinobacteria, 0.0090455% for Gammaproteobacteria, 0.0314109% for Verrucomicrobiae, 0.0044770% for Coriobacteriia, 0.1161669% for Lachnospirales, 0.4688440% for Bacteroidales, 0.0954093% for Bifidobacteriales, 0.2147003% for Erysipelotrichales, 0.0021699% for Lactobacillales, 0.0002222% for Enterobacterales, 0.0314109% for Verrucomicrobiales, 0.0254634% for Clostridia UCG-014, 0.0117709% for Oscillospirales, 0.0044770% for Coriobacteriales, 0.0010130% for Other_Order_Level, 0.0088233% for Burkholderiales, 0.0192544% for Peptococcales, 0.1161669% for Lachnospiraceae, 0.4667525% for Muribaculaceae, 0.0954093% for Bifidobacteriaceae, 0.2013477% for Erysipelotrichaceae, 0.0021699% for Lactobacillaceae, 0.0002222% for Enterobacteriaceae, 0.0133526% for Erysipelatoclostridiaceae, 0.0314109% for Akkermansiaceae, 0.0254634% for Unknown Clostridia UCG-014 (Order) 1, 0.0020914% for Rikenellaceae, 0.0045228% for Oscillospiraceae, 0.0041437% for Other_Family_Level, 0.0030326% for Ruminococcaceae, 0.0044770% for Eggerthellaceae, 0.0088233% for Sutterellaceae, 0.0192544% for Peptococcaceae, 0.4667525% for Unknown Muribaculaceae (Family), 0.0954093% for Bifidobacterium, 0.1341403% for Turicibacter, 0.0462014% for Unknown Lachnospiraceae (Family), 0.0000000% for Lactobacillus, 0.0188230% for Lachnospiraceae NK4A136 group, 0.0002222% for Escherichia-Shigella, 0.0168558% for [Eubacterium] ventriosum group, 0.0125618% for Erysipelatoclostridium, 0.0077580% for Lachnoclostridium, 0.0131565% for A2, 0.0314109% for Akkermansia, 0.0671616% for Dubosiella, 0.0254634% for Unknown Clostridia UCG-014 (Order) 2, 0.0007908% for Unknown Erysipelatoclostridiaceae (Family), 0.0020914% for Alistipes, 0.0000000% for Faecalibaculum, 0.0072220% for Roseburia, 0.0000131% for Lachnospiraceae UCG-001, 0.0028235% for GCA-900066575, 0.0007255% for Lachnospiraceae UCG-006, 0.0000131% for Blautia, 0.0041437% for Other_Genus_Level, 0.0021699% for HT002, 0.0021764% for Incertae Sedis, 0.0012353% for Unknown Oscillospiraceae (Family), 0.0037908% for Enterorhabdus, 0.0088233% for Parasutterella, 0.0192544% for Unknown Peptococcaceae (Family), 0.0000000% for Intestinimonas, 0.0023725% for Colidextribacter, 0.0009150% for Oscillibacter, 0.0019346% for Marvinbryantia, 0.0005490% for Unknown Ruminococcaceae (Family)."
DO0739,"The gut microbiome of the individual shows a relative abundance of 0.5319107% for Firmicutes, 0.0816654% for Bacteroidota, 0.3802863% for Actinobacteriota, 0.0005400% for Proteobacteria, 0.0055977% for Verrucomicrobiota, 0.1802805% for Clostridia, 0.0816654% for Bacteroidia, 0.3516302% for Bacilli, 0.3707865% for Actinobacteria, 0.0005400% for Gammaproteobacteria, 0.0055977% for Verrucomicrobiae, 0.0094998% for Coriobacteriia, 0.0887089% for Lachnospirales, 0.0816654% for Bacteroidales, 0.3707865% for Bifidobacteriales, 0.1470604% for Erysipelotrichales, 0.2042737% for Lactobacillales, 0.0000232% for Enterobacterales, 0.0055977% for Verrucomicrobiales, 0.0703771% for Clostridia UCG-014, 0.0127573% for Oscillospirales, 0.0094998% for Coriobacteriales, 0.0006039% for Other_Order_Level, 0.0005168% for Burkholderiales, 0.0075894% for Peptococcales, 0.0887089% for Lachnospiraceae, 0.0797201% for Muribaculaceae, 0.3707865% for Bifidobacteriaceae, 0.1281189% for Erysipelotrichaceae, 0.2041344% for Lactobacillaceae, 0.0000232% for Enterobacteriaceae, 0.0189414% for Erysipelatoclostridiaceae, 0.0055977% for Akkermansiaceae, 0.0703771% for Unknown Clostridia UCG-014 (Order) 1, 0.0019452% for Rikenellaceae, 0.0096043% for Oscillospiraceae, 0.0018001% for Other_Family_Level, 0.0013472% for Ruminococcaceae, 0.0094998% for Eggerthellaceae, 0.0005168% for Sutterellaceae, 0.0075894% for Peptococcaceae, 0.0797201% for Unknown Muribaculaceae (Family), 0.3707865% for Bifidobacterium, 0.0000000% for Turicibacter, 0.0239991% for Unknown Lachnospiraceae (Family), 0.1673606% for Lactobacillus, 0.0034085% for Lachnospiraceae NK4A136 group, 0.0000232% for Escherichia-Shigella, 0.0000000% for [Eubacterium] ventriosum group, 0.0189414% for Erysipelatoclostridium, 0.0176988% for Lachnoclostridium, 0.0016085% for A2, 0.0055977% for Akkermansia, 0.1280434% for Dubosiella, 0.0703771% for Unknown Clostridia UCG-014 (Order) 2, 0.0000000% for Unknown Erysipelatoclostridiaceae (Family), 0.0019452% for Alistipes, 0.0000000% for Faecalibaculum, 0.0074268% for Roseburia, 0.0001045% for Lachnospiraceae UCG-001, 0.0037744% for GCA-900066575, 0.0285922% for Lachnospiraceae UCG-006, 0.0009291% for Blautia, 0.0018001% for Other_Genus_Level, 0.0367738% for HT002, 0.0011323% for Incertae Sedis, 0.0027756% for Unknown Oscillospiraceae (Family), 0.0091049% for Enterorhabdus, 0.0005168% for Parasutterella, 0.0075894% for Unknown Peptococcaceae (Family), 0.0018756% for Intestinimonas, 0.0025956% for Colidextribacter, 0.0017827% for Oscillibacter, 0.0007607% for Marvinbryantia, 0.0002148% for Unknown Ruminococcaceae (Family)."
DO0740,"The gut microbiome of the individual shows a relative abundance of 0.5159321% for Firmicutes, 0.3821026% for Bacteroidota, 0.1016376% for Actinobacteriota, 0.0003277% for Proteobacteria, 0.0000000% for Verrucomicrobiota, 0.4717276% for Clostridia, 0.3821026% for Bacteroidia, 0.0442045% for Bacilli, 0.0893318% for Actinobacteria, 0.0003277% for Gammaproteobacteria, 0.0000000% for Verrucomicrobiae, 0.0123059% for Coriobacteriia, 0.4436060% for Lachnospirales, 0.3821026% for Bacteroidales, 0.0893318% for Bifidobacteriales, 0.0183510% for Erysipelotrichales, 0.0221195% for Lactobacillales, 0.0003104% for Enterobacterales, 0.0000000% for Verrucomicrobiales, 0.0016557% for Clostridia UCG-014, 0.0248187% for Oscillospirales, 0.0123059% for Coriobacteriales, 0.0027854% for Other_Order_Level, 0.0000172% for Burkholderiales, 0.0003794% for Peptococcales, 0.4436060% for Lachnospiraceae, 0.3532998% for Muribaculaceae, 0.0893318% for Bifidobacteriaceae, 0.0000604% for Erysipelotrichaceae, 0.0205500% for Lactobacillaceae, 0.0003104% for Enterobacteriaceae, 0.0182906% for Erysipelatoclostridiaceae, 0.0000000% for Akkermansiaceae, 0.0016557% for Unknown Clostridia UCG-014 (Order) 1, 0.0288028% for Rikenellaceae, 0.0146601% for Oscillospiraceae, 0.0027854% for Other_Family_Level, 0.0082183% for Ruminococcaceae, 0.0123059% for Eggerthellaceae, 0.0000172% for Sutterellaceae, 0.0003794% for Peptococcaceae, 0.3532998% for Unknown Muribaculaceae (Family), 0.0893318% for Bifidobacterium, 0.0000000% for Turicibacter, 0.1138831% for Unknown Lachnospiraceae (Family), 0.0122627% for Lactobacillus, 0.0913152% for Lachnospiraceae NK4A136 group, 0.0003104% for Escherichia-Shigella, 0.0809755% for [Eubacterium] ventriosum group, 0.0180923% for Erysipelatoclostridium, 0.0211968% for Lachnoclostridium, 0.0974379% for A2, 0.0000000% for Akkermansia, 0.0000000% for Dubosiella, 0.0016557% for Unknown Clostridia UCG-014 (Order) 2, 0.0001983% for Unknown Erysipelatoclostridiaceae (Family), 0.0288028% for Alistipes, 0.0000000% for Faecalibaculum, 0.0096670% for Roseburia, 0.0156863% for Lachnospiraceae UCG-001, 0.0072007% for GCA-900066575, 0.0020783% for Lachnospiraceae UCG-006, 0.0009831% for Blautia, 0.0027854% for Other_Genus_Level, 0.0082873% for HT002, 0.0065453% for Incertae Sedis, 0.0091324% for Unknown Oscillospiraceae (Family), 0.0123059% for Enterorhabdus, 0.0000172% for Parasutterella, 0.0003794% for Unknown Peptococcaceae (Family), 0.0020438% for Intestinimonas, 0.0010348% for Colidextribacter, 0.0024491% for Oscillibacter, 0.0012159% for Marvinbryantia, 0.0006813% for Unknown Ruminococcaceae (Family)."
DO0741,"The gut microbiome of the individual shows a relative abundance of 0.6309496% for Firmicutes, 0.2577942% for Bacteroidota, 0.1097657% for Actinobacteriota, 0.0013473% for Proteobacteria, 0.0001431% for Verrucomicrobiota, 0.5299623% for Clostridia, 0.2577942% for Bacteroidia, 0.1009873% for Bacilli, 0.1074164% for Actinobacteria, 0.0013473% for Gammaproteobacteria, 0.0001431% for Verrucomicrobiae, 0.0023493% for Coriobacteriia, 0.4332526% for Lachnospirales, 0.2577942% for Bacteroidales, 0.1074164% for Bifidobacteriales, 0.0999895% for Erysipelotrichales, 0.0000926% for Lactobacillales, 0.0000379% for Enterobacterales, 0.0001431% for Verrucomicrobiales, 0.0285414% for Clostridia UCG-014, 0.0583500% for Oscillospirales, 0.0023493% for Coriobacteriales, 0.0007621% for Other_Order_Level, 0.0013094% for Burkholderiales, 0.0097889% for Peptococcales, 0.4332526% for Lachnospiraceae, 0.2558954% for Muribaculaceae, 0.1074164% for Bifidobacteriaceae, 0.0837126% for Erysipelotrichaceae, 0.0000716% for Lactobacillaceae, 0.0000379% for Enterobacteriaceae, 0.0162769% for Erysipelatoclostridiaceae, 0.0001431% for Akkermansiaceae, 0.0285414% for Unknown Clostridia UCG-014 (Order) 1, 0.0018988% for Rikenellaceae, 0.0437236% for Oscillospiraceae, 0.0012841% for Other_Family_Level, 0.0126434% for Ruminococcaceae, 0.0023493% for Eggerthellaceae, 0.0013094% for Sutterellaceae, 0.0097889% for Peptococcaceae, 0.2558954% for Unknown Muribaculaceae (Family), 0.1074164% for Bifidobacterium, 0.0684041% for Turicibacter, 0.1172094% for Unknown Lachnospiraceae (Family), 0.0000000% for Lactobacillus, 0.1147506% for Lachnospiraceae NK4A136 group, 0.0000379% for Escherichia-Shigella, 0.0891944% for [Eubacterium] ventriosum group, 0.0043071% for Erysipelatoclostridium, 0.0176831% for Lachnoclostridium, 0.0070943% for A2, 0.0001431% for Akkermansia, 0.0152369% for Dubosiella, 0.0285414% for Unknown Clostridia UCG-014 (Order) 2, 0.0119698% for Unknown Erysipelatoclostridiaceae (Family), 0.0018988% for Alistipes, 0.0000716% for Faecalibaculum, 0.0342378% for Roseburia, 0.0031198% for Lachnospiraceae UCG-001, 0.0306675% for GCA-900066575, 0.0161211% for Lachnospiraceae UCG-006, 0.0000000% for Blautia, 0.0012841% for Other_Genus_Level, 0.0000716% for HT002, 0.0090184% for Incertae Sedis, 0.0225670% for Unknown Oscillospiraceae (Family), 0.0015831% for Enterorhabdus, 0.0013094% for Parasutterella, 0.0097889% for Unknown Peptococcaceae (Family), 0.0041850% for Intestinimonas, 0.0096331% for Colidextribacter, 0.0073385% for Oscillibacter, 0.0011368% for Marvinbryantia, 0.0033935% for Unknown Ruminococcaceae (Family)."
